sys_updated_at,name,source,source_url,standard_province,standard_prefecture,standard_county,address,x,y,confirmed
2020-02-05 15:30:00.352596+08,圩镇,腾讯看点,https://ncov.html5.qq.com/community,广东省,梅州市,兴宁市,广东省梅州市兴宁市新陂镇圩镇,115.702174,24.334905,1
2020-02-05 15:50:55.576799+08,南街镇碧翠湖度假村,肇庆市疫情防控指挥部办公室,https://mp.weixin.qq.com/s/yIJAOf773M36hP6YgMDz7Q,广东省,肇庆市,广宁县,广东省肇庆广宁县南街镇碧翠湖度假村,112.430056,23.606915,-1
2020-02-05 15:15:24.253537+08,喜盛威尼斯,腾讯看点,https://ncov.html5.qq.com/community,江西省,新余市,渝水区,江西省新余市喜盛威尼斯,114.948491,27.789599,1
2020-02-05 15:51:56.246754+08,稔山镇碧桂园十里银滩海悦湾,惠州日报,https://mp.weixin.qq.com/s/o7hxc0RTqyeOCeVSg4j6xA,广东省,惠州市,惠东县,广东省惠州惠东县稔山镇碧桂园十里银滩海悦湾,114.728765,22.793411,-1
2020-02-05 15:12:05.025788+08,私宅,腾讯看点,https://ncov.html5.qq.com/community,江西省,新余市,渝水区,江西省新余市渝水区城南街道沙土地税局站北路私宅,114.933037,27.811131,1
2020-02-05 14:59:58.601249+08,毛角村,腾讯看点,https://ncov.html5.qq.com/community,湖南省,岳阳市,湘阴县,湖南省岳阳市湘阴县南湖州镇毛角村,112.526907,28.654863,1
2020-02-05 15:08:10.346157+08,张湾村,腾讯看点,https://ncov.html5.qq.com/community,河南省,新乡市,新乡县,河南省新乡市新乡县朗公庙镇张湾村,113.910261,35.209543,1
2020-02-05 15:32:06.595428+08,合景路,腾讯看点,https://ncov.html5.qq.com/community,广东省,广州市,天河区,广东省广州市天河区合景路,113.403221,23.153915,-1
2020-02-05 15:45:19.274616+08,平湖特力商厦,南方都市报,https://mp.weixin.qq.com/s/KkYpkD4oV997_ZPNRa0vHg,广东省,深圳市,龙岗区,广东省深圳龙岗区平湖特力商厦,114.131677,22.698336,-1
2020-02-05 15:09:49.50482+08,上屯镇,腾讯看点,https://ncov.html5.qq.com/community,河南省,南阳市,唐河县,河南省南阳市唐河县上屯镇,112.761282,32.561755,2
2020-02-05 15:41:23.195597+08,京溪街道广州大道北,广州市卫健委,http://wjw.gz.gov.cn/ztzl/xxfyyqfk/yqtb/content/post_5649287.html,广东省,广州市,白云区,广东省广州白云区京溪街道广州大道北,113.32738,23.186244,-1
2020-02-05 14:54:18.447451+08,龙都路400号,腾讯看点,https://ncov.html5.qq.com/community,重庆市,重庆市,铜梁区,重庆市铜梁区南城街道龙都路400号,106.047696,29.840452,1
2020-02-05 15:21:00.456718+08,平湖山厦社区梨头廖,腾讯看点,https://ncov.html5.qq.com/community,广东省,深圳市,龙岗区,广东省深圳市龙岗区平湖山厦社区梨头廖,114.115647,22.703835,-1
